model,label_file,ari,n_messages
231417,labels_20250227_231417_mistral-conv-dec-lea2_thisiscere.csv,1.0,0
101739,labels_20250228_101739_deepseek-llm:67b-prompt_ale_3_thisiscere.csv,0.13516705398300888,47
230611,labels_20250227_230611_['mistral']-conv-dec-lea2_thisiscere.csv,1.0,0
231343,labels_20250227_231343_mistral-CD_prompt_alejandro_2_thisiscere.csv,1.0,0
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-conversation_detection_prompt_thisiscere.csv",1.0,0
230825,labels_20250227_230825_['mistral']-conv-dec-lea1_thisiscere.csv,1.0,0
230825,labels_20250227_230825_['mistral']-CD_prompt_helen-small-model-formatting-fix_thisiscere.csv,1.0,0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-conversation_detection_prompt_ruleschange_thisiscere.csv",1.0,0
122736,labels_20250228_122736_mixtral:8x22b-conv-dec-lea4_thisiscere.csv,1.0,0
231417,labels_20250227_231417_mistral-conversation_detection_prompt_ruleschange_thisiscere.csv,1.0,0
231417,labels_20250227_231417_mistral-CD_prompt_helen-small-model-formatting-fix_thisiscere.csv,1.0,0
230611,labels_20250227_230611_['mistral']-CD_prompt_alejandro_bt_thisiscere.csv,1.0,0
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-conversation_detection_prompt_withoutCSV_thisiscere.csv",1.0,0
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-CD_prompt_alejandro_1_thisiscere.csv",1.0,0
185300,labels_20250131_185300_deepseekv3_thisiscere.csv,0.8652871839336348,67
231906,labels_20250227_231906_wizardlm2-conv-dec-lea1_thisiscere.csv,1.0,0
094941,labels_20250228_094941_llama3.3:70b-prompt_ale_1_thisiscere.csv,1.0,0
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-CD_prompt_alejandro_2_thisiscere.csv",1.0,0
114402,labels_20250228_114402_deepseek-llm:67b-CD_prompt_alejandro_2_thisiscere.csv,1.0,0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-conv-dec-lea2_thisiscere.csv",1.0,0
225758,"labels_20250227_225758_[llama3.3:70b, wizardlm2:8x22b-conversation_detection_prompt_thisiscere.csv",1.0,0
230611,labels_20250227_230611_['mistral']-CD_prompt_alejandro_2_thisiscere.csv,1.0,0
230825,labels_20250227_230825_['mistral']-conversation_detection_prompt_ruleschange_thisiscere.csv,1.0,0
120330,labels_20250228_120330_orca-mini:70b-conv-dec-lea4_thisiscere.csv,0.17916137229987295,17
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-conv-dec-lea3_thisiscere.csv",1.0,0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-conversation_detection_lea_prompt1_thisiscere.csv",1.0,0
231417,labels_20250227_231417_mistral-conversation_detection_prompt_withoutCSV_thisiscere.csv,1.0,0
202230,labels_20250225_202230_mistral7b_thisiscere.csv,0.2194934765924789,27
231343,labels_20250227_231343_mistral-conversation_detection_prompt_ruleschange_thisiscere.csv,1.0,0
094941,labels_20250228_094941_llama3.3:70b-conv-dec-lea4_thisiscere.csv,1.0,0
