message_id,conversation_id,topic,timestamp,labeler_id,confidence
36578,1,PAWS Token Giveaway Campaign,20250114051733,orca-mini:70b,1.0
36580,2,PAWS Token Giveaway Campaign,20250114064659,orca-mini:70b,1.0
36582,3,Confirm Bull run,20250114092102,orca-mini:70b,1.0
36583,4,Froshray,20250114093558,orca-mini:70b,1.0
36587,5,Announcement Schedule Inquiry,20250114094036,orca-mini:70b,1.0
36588,6,Alt Season Expectations for CERE Token,20250114094206,orca-mini:70b,1.0
36589,7,Bren Sharing Updates Speculation,20250114100349,orca-mini:70b,1.0
36590,8,Hello Greeting,20250114101101,orca-mini:70b,1.0
36592,9,XRP Meme Coin PHNIX and UFD Price Pumps,20250114112840,orca-mini:70b,1.0
36597,10,Developer Services Offering,20250114132545,orca-mini:70b,1.0
36569,1,"""CERE Token Supply Debate""",20250114012256,orca-mini:70b,1.0
36570,1,"""CERE Treasury Burn Strategy""",20250114012540,orca-mini:70b,1.0
36575,0,"""Spam Messages""",20250114022238,orca-mini:70b,1.0
36579,2,"""PAWS Token Giveaway Campaign""",20250114040715,orca-mini:70b,1.0
36580,2,"""Community Engagement in PAWS Airdrop""",20250114040731,orca-mini:70b,1.0
36581,2,"""PAWS Token Distribution Mechanism""",20250114040809,orca-mini:70b,1.0
36593,3,"""Bridge Updates and Community Concerns""",20250114081420,orca-mini:70b,1.0
36596,4,"""PAWS Token Airdrop Spam Messages""",20250114090733,orca-mini:70b,1.0
36598,4,"""Spam Messages""",20250114092154,orca-mini:70b,1.0
36602,4,"""Notifying Moderators about Spam Messages""",20250114102715,orca-mini:70b,1.0
36604,5,"""PAWS Token Airdrop Questions""",20250114105209,orca-mini:70b,1.0
36607,5,"""Spam Messages""",20250114110834,orca-mini:70b,1.0
36611,6,"""Notifying Moderators about Spam Messages""",20250114181900,orca-mini:70b,1.0
