model,label_file,accuracy,precision,recall,f1
231417,labels_20250227_231417_mistral-conv-dec-lea2_thisiscere.csv,,0.0,0.0,0.0
101739,labels_20250228_101739_deepseek-llm:67b-prompt_ale_3_thisiscere.csv,0.8723404255319149,0.0,0.0,0.0
230611,labels_20250227_230611_['mistral']-conv-dec-lea2_thisiscere.csv,,0.0,0.0,0.0
231343,labels_20250227_231343_mistral-CD_prompt_alejandro_2_thisiscere.csv,,0.0,0.0,0.0
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-conversation_detection_prompt_thisiscere.csv",,0.0,0.0,0.0
230825,labels_20250227_230825_['mistral']-conv-dec-lea1_thisiscere.csv,,0.0,0.0,0.0
230825,labels_20250227_230825_['mistral']-CD_prompt_helen-small-model-formatting-fix_thisiscere.csv,,0.0,0.0,0.0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-conversation_detection_prompt_ruleschange_thisiscere.csv",,0.0,0.0,0.0
231417,labels_20250227_231417_mistral-conversation_detection_prompt_ruleschange_thisiscere.csv,,0.0,0.0,0.0
231417,labels_20250227_231417_mistral-CD_prompt_helen-small-model-formatting-fix_thisiscere.csv,,0.0,0.0,0.0
230611,labels_20250227_230611_['mistral']-CD_prompt_alejandro_bt_thisiscere.csv,,0.0,0.0,0.0
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-conversation_detection_prompt_withoutCSV_thisiscere.csv",,0.0,0.0,0.0
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-CD_prompt_alejandro_1_thisiscere.csv",,0.0,0.0,0.0
185300,labels_20250131_185300_deepseekv3_thisiscere.csv,0.9552238805970149,0.8421052631578947,1.0,0.9142857142857143
231906,labels_20250227_231906_wizardlm2-conv-dec-lea1_thisiscere.csv,,0.0,0.0,0.0
094941,labels_20250228_094941_llama3.3:70b-prompt_ale_1_thisiscere.csv,,0.0,0.0,0.0
230231,"labels_20250227_230231_['llama3.3:70b', 'wizardlm2:8x22b']-CD_prompt_alejandro_2_thisiscere.csv",,0.0,0.0,0.0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-conv-dec-lea2_thisiscere.csv",,0.0,0.0,0.0
225758,"labels_20250227_225758_[llama3.3:70b, wizardlm2:8x22b-conversation_detection_prompt_thisiscere.csv",,0.0,0.0,0.0
230611,labels_20250227_230611_['mistral']-CD_prompt_alejandro_2_thisiscere.csv,,0.0,0.0,0.0
230825,labels_20250227_230825_['mistral']-conversation_detection_prompt_ruleschange_thisiscere.csv,,0.0,0.0,0.0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-conv-dec-lea3_thisiscere.csv",,0.0,0.0,0.0
105620,"labels_20250228_105620_[llama3.3:70b, wizardlm2:8x22b-conversation_detection_lea_prompt1_thisiscere.csv",,0.0,0.0,0.0
231417,labels_20250227_231417_mistral-conversation_detection_prompt_withoutCSV_thisiscere.csv,,0.0,0.0,0.0
202230,labels_20250225_202230_mistral7b_thisiscere.csv,0.8888888888888888,0.0,0.0,0.0
231343,labels_20250227_231343_mistral-conversation_detection_prompt_ruleschange_thisiscere.csv,,0.0,0.0,0.0
094941,labels_20250228_094941_llama3.3:70b-conv-dec-lea4_thisiscere.csv,,0.0,0.0,0.0
103804,labels_20250228_103804_deepseek-llm:67b-conv-dec-lea2_thisiscere.csv,0.7837837837837838,0.6,0.6,0.6
225758,"labels_20250227_225758_[llama3.3:70b, wizardlm2:8x22b-CD_prompt_alejandro_1_thisiscere.csv",,0.0,0.0,0.0
