message_id,conversation_id,topic,timestamp,labeler_id,confidence
36574,1,$PAWS Token Giveaway,20250114020549,llama3.3:70b,1.0
36573,1,$PAWS Token Giveaway,20250114015542,llama3.3:70b,1.0
36571,2,Token Burning Discussion,20250114013000,llama3.3:70b,1.0
36575,3,Spam Message,20250114022238,llama3.3:70b,1.0
36576,3,Spam Message,20250114023026,llama3.3:70b,1.0
36572,2,Token Burning Discussion,20250114014500,llama3.3:70b,1.0
36570,1,$PAWS Token Giveaway,20250114012000,llama3.3:70b,1.0
36569,4,Web3 Community Event,20250114011000,llama3.3:70b,1.0
36568,2,Token Burning Discussion,20250114010000,llama3.3:70b,1.0
36567,1,$PAWS Token Giveaway,20250114005000,llama3.3:70b,1.0
36566,3,Spam Message,20250114004000,llama3.3:70b,1.0
36565,2,Token Burning Discussion,20250114003000,llama3.3:70b,1.0
36564,1,$PAWS Token Giveaway,20250114002000,llama3.3:70b,1.0
36563,4,Web3 Community Event,20250114001000,llama3.3:70b,1.0
36562,2,Token Burning Discussion,20250114000000,llama3.3:70b,1.0
36561,1,$PAWS Token Giveaway,20250113235000,llama3.3:70b,1.0
36560,3,Spam Message,20250113234000,llama3.3:70b,1.0
36559,2,Token Burning Discussion,20250113233000,llama3.3:70b,1.0
36558,1,$PAWS Token Giveaway,20250113232000,llama3.3:70b,1.0
36557,4,Web3 Community Event,20250113231000,llama3.3:70b,1.0
36556,2,Token Burning Discussion,20250113230000,llama3.3:70b,1.0
36555,1,$PAWS Token Giveaway,20250113225000,llama3.3:70b,1.0
36554,3,Spam Message,20250113224000,llama3.3:70b,1.0
36553,2,Token Burning Discussion,20250113223000,llama3.3:70b,1.0
36552,1,$PAWS Token Giveaway,20250113222000,llama3.3:70b,1.0
36551,4,Web3 Community Event,20250113221000,llama3.3:70b,1.0
36550,2,Token Burning Discussion,20250113220000,llama3.3:70b,1.0
36549,1,$PAWS Token Giveaway,20250113215000,llama3.3:70b,1.0
36548,3,Spam Message,20250113214000,llama3.3:70b,1.0
36547,2,Token Burning Discussion,20250113213000,llama3.3:70b,1.0
36546,1,$PAWS Token Giveaway,20250113212000,llama3.3:70b,1.0
36545,4,Web3 Community Event,20250113211000,llama3.3:70b,1.0
36544,2,Token Burning Discussion,20250113210000,llama3.3:70b,1.0
36543,1,$PAWS Token Giveaway,20250113205000,llama3.3:70b,1.0
36542,3,Spam Message,20250113204000,llama3.3:70b,1.0
36541,2,Token Burning Discussion,20250113203000,llama3.3:70b,1.0
36540,1,$PAWS Token Giveaway,20250113202000,llama3.3:70b,1.0
36539,4,Web3 Community Event,20250113201000,llama3.3:70b,1.0
36538,2,Token Burning Discussion,20250113200000,llama3.3:70b,1.0
36537,1,$PAWS Token Giveaway,20250113195000,llama3.3:70b,1.0
36536,3,Spam Message,20250113194000,llama3.3:70b,1.0
36535,2,Token Burning Discussion,20250113193000,llama3.3:70b,1.0
36534,1,$PAWS Token Giveaway,20250113192000,llama3.3:70b,1.0
36533,4,Web3 Community Event,20250113191000,llama3.3:70b,1.0
36532,2,Token Burning Discussion,20250113190000,llama3.3:70b,1.0
36531,1,$PAWS Token Giveaway,20250113185000,llama3.3:70b,1.0
36530,3,Spam Message,20250113184000,llama3.3:70b,1.0
36529,2,Token Burning Discussion,20250113183000,llama3.3:70b,1.0
36528,1,$PAWS Token Giveaway,20250113182000,llama3.3:70b,1.0
36527,4,Web3 Community Event,20250113181000,llama3.3:70b,1.0
36526,2,Token Burning Discussion,20250113180000,llama3.3:70b,1.0
36525,1,$PAWS Token Giveaway,20250113175000,llama3.3:70b,1.0
36524,3,Spam Message,20250113174000,llama3.3:70b,1.0
36523,2,Token Burning Discussion,20250113173000,llama3.3:70b,1.0
36522,1,$PAWS Token Giveaway,20250113172000,llama3.3:70b,1.0
36521,4,Web3 Community Event,20250113171000,llama3.3:70b,1.0
36520,2,Token Burning Discussion,20250113170000,llama3.3:70b,1.0
36575,1,$PAWS Token Giveaway,20250114022238,llama3.3:70b,1.0
36576,1,$PAWS Token Giveaway,20250114023026,llama3.3:70b,1.0
36567,2,Token Burning Discussion,20250114005000,llama3.3:70b,1.0
36568,3,Spam Message,20250114010000,llama3.3:70b,1.0
36569,4,Web3 Community Event,20250114011000,llama3.3:70b,1.0
36570,1,$PAWS Token Giveaway,20250114012000,llama3.3:70b,1.0
36571,2,Token Burning Discussion,20250114013000,llama3.3:70b,1.0
36572,3,Spam Message,20250114014500,llama3.3:70b,1.0
36573,1,$PAWS Token Giveaway,20250114015542,llama3.3:70b,1.0
36574,4,Web3 Community Event,20250114020549,llama3.3:70b,1.0
36578,0,Spam Notification,20250114051733,llama3.3:70b,1.0
36580,1,Token Giveaway Alert,20250114064659,llama3.3:70b,1.0
36582,2,Bull Run Confirmation,20250114092102,llama3.3:70b,1.0
36583,2,Market Trend Discussion,20250114093558,llama3.3:70b,1.0
36587,3,Announcement Expectation,20250114094036,llama3.3:70b,1.0
36588,3,Alt Season Prospect,20250114094206,llama3.3:70b,1.0
36589,3,Update Anticipation,20250114100349,llama3.3:70b,1.0
36590,4,Greeting Exchange,20250114101101,llama3.3:70b,1.0
36592,5,Meme Coin Performance,20250114112840,llama3.3:70b,1.0
36597,6,DeFi Development Service,20250114132545,llama3.3:70b,1.0
36599,1,Short Days Discussion,20250114133347,llama3.3:70b,1.0
